hgnc_id,symbol,name,locus_group,locus_type,status,location,alias_symbol,prev_symbol,gene_group,entrez_id,ensembl_gene_id,refseq_accession
HGNC:23993,AASDH,aminoadipate-semialdehyde dehydrogenase,protein-coding gene,gene with protein product,Approved,4q12,NRPS998|LYS2|ACSF4,,Acyl-CoA synthetase family,132949.0,ENSG00000157426,NM_181806
HGNC:58795,AASDH-DT,AASDH divergent transcript,non-coding RNA,"RNA, long non-coding",Approved,4q12,,,Divergent transcripts,,ENSG00000269921,
HGNC:14235,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,protein-coding gene,gene with protein product,Approved,11q22.3,LYS5|CGI-80|AASD-PPT|ACPS,,,60496.0,ENSG00000149313,NM_015423
HGNC:58262,AASDHPPT-AS1,AASDHPPT antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,11q22.3,,,Antisense RNAs,,ENSG00000254433,
HGNC:17366,AASS,aminoadipate-semialdehyde synthase,protein-coding gene,gene with protein product,Approved,7q31.32,LORSDH|LKRSDH|LKR/SDH,,,10157.0,ENSG00000008311,NM_005763
HGNC:51526,AATBC,apoptosis associated transcript in bladder cancer,non-coding RNA,"RNA, long non-coding",Approved,21q22.3,,,Long non-coding RNAs with non-systematic symbols,284837.0,ENSG00000215458,NR_026961
HGNC:19235,AATF,apoptosis antagonizing transcription factor,protein-coding gene,gene with protein product,Approved,17q12,DED|CHE-1|CHE1|BFR2,,MicroRNA protein coding host genes,26574.0,ENSG00000275700,NM_012138
HGNC:22,AAVS1,adeno-associated virus integration site 1,other,virus integration site,Approved,19q13,AAV,,,17.0,,
HGNC:23,ABAT,4-aminobutyrate aminotransferase,protein-coding gene,gene with protein product,Approved,16p13.2,GABAT|GABA-T,,Transaminases,18.0,ENSG00000183044,NM_020686
HGNC:29,ABCA1,ATP binding cassette subfamily A member 1,protein-coding gene,gene with protein product,Approved,9q31.1,TGD,ABC1|HDLDT1,ATP binding cassette subfamily A|ATPase phospholipid transporting,19.0,ENSG00000165029,NM_005502
HGNC:30,ABCA10,ATP binding cassette subfamily A member 10,protein-coding gene,gene with protein product,Approved,17q24.3,EST698739,,ATP binding cassette subfamily A,10349.0,ENSG00000154263,NM_080282
HGNC:31,ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene",pseudogene,pseudogene,Approved,4p16.3,ABCA10P|EST1133530|FLJ14297,ABCA11,ATP binding cassette subfamily A,79963.0,ENSG00000251595,NR_002451.2
HGNC:14637,ABCA12,ATP binding cassette subfamily A member 12,protein-coding gene,gene with protein product,Approved,2q35,DKFZP434G232|LI2,ICR2B,ATP binding cassette subfamily A|ATPase phospholipid transporting,26154.0,ENSG00000144452,NM_173076
HGNC:14638,ABCA13,ATP binding cassette subfamily A member 13,protein-coding gene,gene with protein product,Approved,7p12.3,FLJ33876|FLJ33951,,ATP binding cassette subfamily A,154664.0,ENSG00000179869,NM_152701
HGNC:34405,ABCA15P,"ATP binding cassette subfamily A member 15, pseudogene",pseudogene,pseudogene,Approved,16p12.2,ABCA15P1|FLJ41766,NCRNA00169|CRYM-AS1,ATP binding cassette subfamily A|Unitary pseudogenes,400508.0,ENSG00000189149,NR_026675
HGNC:55707,ABCA16P,"ATP binding cassette subfamily A member 16, pseudogene",pseudogene,pseudogene,Approved,16p12.2,ABCA15P2,ABCA3P1,ATP binding cassette subfamily A|Unitary pseudogenes,342293.0,ENSG00000257408,NG_022511
HGNC:32972,ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene",pseudogene,pseudogene,Approved,16p13.3,,,ATP binding cassette subfamily A|Unitary pseudogenes,650655.0,ENSG00000238098,NR_003574
HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,protein-coding gene,gene with protein product,Approved,9q34.3,,ABC2,ATP binding cassette subfamily A,20.0,ENSG00000107331,NM_001606
HGNC:33,ABCA3,ATP binding cassette subfamily A member 3,protein-coding gene,gene with protein product,Approved,16p13.3,ABC-C|EST111653|LBM180,ABC3,ATP binding cassette subfamily A|ATPase phospholipid transporting,21.0,ENSG00000167972,NM_001089
HGNC:34,ABCA4,ATP binding cassette subfamily A member 4,protein-coding gene,gene with protein product,Approved,1p22.1,FFM|ARMD2|CORD3,STGD1|ABCR|RP19|STGD,ATP binding cassette subfamily A|ATPase phospholipid transporting,24.0,ENSG00000198691,NM_000350
HGNC:35,ABCA5,ATP binding cassette subfamily A member 5,protein-coding gene,gene with protein product,Approved,17q24.3,EST90625,,ATP binding cassette subfamily A,23461.0,ENSG00000154265,NM_018672
HGNC:36,ABCA6,ATP binding cassette subfamily A member 6,protein-coding gene,gene with protein product,Approved,17q24.2-q24.3,EST155051,,ATP binding cassette subfamily A|MicroRNA protein coding host genes,23460.0,ENSG00000154262,NM_080284
HGNC:37,ABCA7,ATP binding cassette subfamily A member 7,protein-coding gene,gene with protein product,Approved,19p13.3,ABCX,,ATP binding cassette subfamily A|ATPase phospholipid transporting,10347.0,ENSG00000064687,NM_019112
HGNC:38,ABCA8,ATP binding cassette subfamily A member 8,protein-coding gene,gene with protein product,Approved,17q24.2,KIAA0822,,ATP binding cassette subfamily A,10351.0,ENSG00000141338,NM_007168
HGNC:39,ABCA9,ATP binding cassette subfamily A member 9,protein-coding gene,gene with protein product,Approved,17q24.2,EST640918,,ATP binding cassette subfamily A,10350.0,ENSG00000154258,NM_172386
HGNC:39983,ABCA9-AS1,ABCA9 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,17q24.2,,,Antisense RNAs,104355297.0,ENSG00000231749,NR_126414
HGNC:40,ABCB1,ATP binding cassette subfamily B member 1,protein-coding gene,gene with protein product,Approved,7q21.12,P-gp|CD243|GP170|ABC20|p-170|PGY1,PGY1|MDR1|CLCS,CD molecules|ATP binding cassette subfamily B|ATPase phospholipid transporting,5243.0,ENSG00000085563,NM_000927
HGNC:41,ABCB10,ATP binding cassette subfamily B member 10,protein-coding gene,gene with protein product,Approved,1q42.13,EST20237|M-ABC2|MTABC2,,ATP binding cassette subfamily B,23456.0,ENSG00000135776,NM_012089
HGNC:14114,ABCB10P1,ABCB10 pseudogene 1,pseudogene,pseudogene,Approved,15q11.2,M-ABC2|MABC2,ABCB10P|ABCB10P2,,56476.0,ENSG00000274099,NG_005041
HGNC:31129,ABCB10P3,ABCB10 pseudogene 3,pseudogene,pseudogene,Approved,15q13.1,,,,728248.0,ENSG00000261524,NG_022122
HGNC:31130,ABCB10P4,ABCB10 pseudogene 4,pseudogene,pseudogene,Approved,15q13.1,,,,100132289.0,ENSG00000260053,NG_022102
HGNC:42,ABCB11,ATP binding cassette subfamily B member 11,protein-coding gene,gene with protein product,Approved,2q31.1,ABC16|SPGP|PFIC-2|PGY4,BSEP|PFIC2,ATP binding cassette subfamily B,8647.0,ENSG00000073734,NM_003742
HGNC:45,ABCB4,ATP binding cassette subfamily B member 4,protein-coding gene,gene with protein product,Approved,7q21.12,MDR2|PFIC-3|GBD1,PGY3|MDR3,ATP binding cassette subfamily B|ATPase phospholipid transporting,5244.0,ENSG00000005471,NM_000443
HGNC:59206,ABCB4P1,ABCB4 pseudogene 1,pseudogene,pseudogene,Approved,4q32.1,,,,,ENSG00000249627,
HGNC:46,ABCB5,ATP binding cassette subfamily B member 5,protein-coding gene,gene with protein product,Approved,7p21.1,EST422562|ABCB5beta|ABCB5alpha,,ATP binding cassette subfamily B,340273.0,ENSG00000004846,NM_178559
HGNC:47,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),protein-coding gene,gene with protein product,Approved,2q35,EST45597|umat|MTABC3,,Blood group antigens|ATP binding cassette subfamily B,10058.0,ENSG00000115657,NM_005689
HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,protein-coding gene,gene with protein product,Approved,Xq13.3,EST140535|Atm1p|ASAT,ABC7,ATP binding cassette subfamily B,22.0,ENSG00000131269,NM_004299
HGNC:49,ABCB8,ATP binding cassette subfamily B member 8,protein-coding gene,gene with protein product,Approved,7q36.1,EST328128|M-ABC1|MABC1|MITOSUR,,ATP binding cassette subfamily B,11194.0,ENSG00000197150,NM_007188
HGNC:50,ABCB9,ATP binding cassette subfamily B member 9,protein-coding gene,gene with protein product,Approved,12q24.31,EST122234,,ATP binding cassette subfamily B,23457.0,ENSG00000150967,NM_019624
HGNC:51,ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),protein-coding gene,gene with protein product,Approved,16p13.11,GS-X,MRP|MRP1,Blood group antigens|ATP binding cassette subfamily C,4363.0,ENSG00000103222,NM_004996
HGNC:52,ABCC10,ATP binding cassette subfamily C member 10,protein-coding gene,gene with protein product,Approved,6p21.1,EST182763|MRP7|SIMRP7,,ATP binding cassette subfamily C|MicroRNA protein coding host genes,89845.0,ENSG00000124574,NM_033450
HGNC:14639,ABCC11,ATP binding cassette subfamily C member 11,protein-coding gene,gene with protein product,Approved,16q12.1,MRP8,,ATP binding cassette subfamily C,85320.0,ENSG00000121270,NM_032583
HGNC:14640,ABCC12,ATP binding cassette subfamily C member 12,protein-coding gene,gene with protein product,Approved,16q12.1,MRP9,,ATP binding cassette subfamily C,94160.0,ENSG00000140798,NM_033226
HGNC:16022,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),pseudogene,pseudogene,Approved,21q11.2,PRED6|C21orf73|ABCC13P,,ATP binding cassette subfamily C|Unitary pseudogenes,150000.0,ENSG00000243064,NR_003087
HGNC:53,ABCC2,ATP binding cassette subfamily C member 2,protein-coding gene,gene with protein product,Approved,10q24.2,DJS|MRP2|cMRP,CMOAT,ATP binding cassette subfamily C,1244.0,ENSG00000023839,NM_000392
HGNC:54,ABCC3,ATP binding cassette subfamily C member 3,protein-coding gene,gene with protein product,Approved,17q21.33,MRP3|cMOAT2|EST90757|MLP2|MOAT-D,,ATP binding cassette subfamily C,8714.0,ENSG00000108846,NM_020038
HGNC:55,ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),protein-coding gene,gene with protein product,Approved,13q32.1,MRP4|EST170205|MOAT-B|MOATB,,Blood group antigens|ATP binding cassette subfamily C,10257.0,ENSG00000125257,NM_005845
HGNC:56,ABCC5,ATP binding cassette subfamily C member 5,protein-coding gene,gene with protein product,Approved,3q27.1,MRP5|SMRP|EST277145|MOAT-C,,ATP binding cassette subfamily C,10057.0,ENSG00000114770,NM_005688
HGNC:40055,ABCC5-AS1,ABCC5 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,3q27.1,,,Antisense RNAs,100873982.0,ENSG00000223882,NR_046570
HGNC:57,ABCC6,ATP binding cassette subfamily C member 6,protein-coding gene,gene with protein product,Approved,16p13.11,MRP6|EST349056|MLP1|URG7,ARA|PXE,ATP binding cassette subfamily C,368.0,ENSG00000091262,NM_001079528
HGNC:33352,ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1,pseudogene,pseudogene,Approved,16p12.3,,,,653190.0,ENSG00000256340,NR_003569
HGNC:33353,ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2,pseudogene,pseudogene,Approved,16p13.11,,,,730013.0,ENSG00000255277,NR_023387
HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,protein-coding gene,gene with protein product,Approved,11p15.1,HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2,SUR|HRINS,ATP binding cassette subfamily C,6833.0,ENSG00000006071,NM_000352
HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,protein-coding gene,gene with protein product,Approved,12p12.1,SUR2|CMD1O,,ATP binding cassette subfamily C,10060.0,ENSG00000069431,NM_005691
HGNC:61,ABCD1,ATP binding cassette subfamily D member 1,protein-coding gene,gene with protein product,Approved,Xq28,AMN|ALDP|adrenoleukodystrophy,ALD,ATP binding cassette subfamily D,215.0,ENSG00000101986,NM_000033
HGNC:62,ABCD1P1,ATP binding cassette subfamily D member 1 pseudogene 1,pseudogene,pseudogene,Approved,2p11.2,,,,23785.0,,NG_001246
HGNC:63,ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2,pseudogene,pseudogene,Approved,10p11.1,bA453N3.6,,,26983.0,ENSG00000215151,NG_001270
HGNC:64,ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3,pseudogene,pseudogene,Approved,16p11.2,,,,26982.0,ENSG00000261233,NG_001269
HGNC:65,ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4,pseudogene,pseudogene,Approved,22q11.1,,,,26957.0,ENSG00000225293,NG_001265
HGNC:42662,ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5,pseudogene,pseudogene,Approved,2p11.1,,,,642762.0,ENSG00000214330,NG_006974
HGNC:66,ABCD2,ATP binding cassette subfamily D member 2,protein-coding gene,gene with protein product,Approved,12q12,ALDR|ALDRP,ALDL1,ATP binding cassette subfamily D,225.0,ENSG00000173208,NM_005164
HGNC:67,ABCD3,ATP binding cassette subfamily D member 3,protein-coding gene,gene with protein product,Approved,1p21.3,PMP70|ZWS2,PXMP1,ATP binding cassette subfamily D|GOLD domain containing,5825.0,ENSG00000117528,NM_002858
HGNC:68,ABCD4,ATP binding cassette subfamily D member 4,protein-coding gene,gene with protein product,Approved,14q24.3,PMP69|P70R|EST352188,PXMP1L,ATP binding cassette subfamily D,5826.0,ENSG00000119688,NM_005050
HGNC:69,ABCE1,ATP binding cassette subfamily E member 1,protein-coding gene,gene with protein product,Approved,4q31.21,RLI|OABP|RLI1,RNASEL1|RNASELI|RNS4I,ATP binding cassette subfamily E,6059.0,ENSG00000164163,NM_002940
HGNC:58656,ABCE1P1,ABCE1 pseudogene 1,pseudogene,pseudogene,Approved,7p15.3,ABCE1P2,,,442517.0,ENSG00000224785,NG_022530
HGNC:58657,ABCE1P2,ABCE1 pseudogene 2,pseudogene,pseudogene,Approved,1q31.2,,,,647150.0,ENSG00000226723,NG_022748
HGNC:58658,ABCE1P3,ABCE1 pseudogene 3,pseudogene,pseudogene,Approved,1q31.2,,,,,ENSG00000236792,
HGNC:70,ABCF1,ATP binding cassette subfamily F member 1,protein-coding gene,gene with protein product,Approved,6p21.33,EST123147,ABC50,ATP binding cassette subfamily F|MicroRNA protein coding host genes,23.0,ENSG00000204574,NM_001025091
HGNC:53628,ABCF1-DT,ABCF1 divergent transcript,non-coding RNA,"RNA, long non-coding",Approved,6p21.33,,,Divergent transcripts,107986587.0,,XR_001756540
HGNC:71,ABCF2,ATP binding cassette subfamily F member 2,protein-coding gene,gene with protein product,Approved,7q36.1,EST133090|ABC28|M-ABC1|HUSSY-18,,ATP binding cassette subfamily F,10061.0,ENSG00000033050,NM_005692
HGNC:54751,ABCF2-H2BK1,ABCF2-H2BK1 readthrough,other,readthrough,Approved,7q36.1,,ABCF2-H2BE1,,114483834.0,ENSG00000285292,NM_005692
HGNC:48841,ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1,pseudogene,pseudogene,Approved,3p11.1,,,,344653.0,ENSG00000242159,NG_022253
HGNC:48842,ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2,pseudogene,pseudogene,Approved,7q11.22,,,,100422059.0,ENSG00000228769,NG_026596
HGNC:72,ABCF3,ATP binding cassette subfamily F member 3,protein-coding gene,gene with protein product,Approved,3q27.1,EST201864,,ATP binding cassette subfamily F,55324.0,ENSG00000161204,NM_018358
HGNC:73,ABCG1,ATP binding cassette subfamily G member 1,protein-coding gene,gene with protein product,Approved,21q22.3,ABC8,,ATP binding cassette subfamily G,9619.0,ENSG00000160179,NM_207174
HGNC:74,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),protein-coding gene,gene with protein product,Approved,4q22.1,EST157481|MXR|BCRP|ABCP|CD338,,Blood group antigens|CD molecules|ATP binding cassette subfamily G,9429.0,ENSG00000118777,NM_004827
HGNC:13884,ABCG4,ATP binding cassette subfamily G member 4,protein-coding gene,gene with protein product,Approved,11q23.3,WHITE2,,ATP binding cassette subfamily G,64137.0,ENSG00000172350,NM_022169
HGNC:13886,ABCG5,ATP binding cassette subfamily G member 5,protein-coding gene,gene with protein product,Approved,2p21,STSL,,ATP binding cassette subfamily G,64240.0,ENSG00000138075,NM_022436
HGNC:13887,ABCG8,ATP binding cassette subfamily G member 8,protein-coding gene,gene with protein product,Approved,2p21,GBD4,,ATP binding cassette subfamily G,64241.0,ENSG00000143921,NM_022437
HGNC:17553,ABHD1,abhydrolase domain containing 1,protein-coding gene,gene with protein product,Approved,2p23.3,LABH1|FLJ36128,,Abhydrolase domain containing,84696.0,ENSG00000143994,NM_032604
HGNC:25656,ABHD10,"abhydrolase domain containing 10, depalmitoylase",protein-coding gene,gene with protein product,Approved,3q13.2,FLJ11342,,Abhydrolase domain containing,55347.0,ENSG00000144827,NM_018394
HGNC:16407,ABHD11,abhydrolase domain containing 11,protein-coding gene,gene with protein product,Approved,7q11.23,PP1226,WBSCR21,Abhydrolase domain containing,83451.0,ENSG00000106077,NM_001145364
HGNC:15868,ABHD12,"abhydrolase domain containing 12, lysophospholipase",protein-coding gene,gene with protein product,Approved,20p11.21,DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A,C20orf22,Abhydrolase domain containing|2-arachidonoylglycerol hydrolases,26090.0,ENSG00000100997,NM_015600
HGNC:19837,ABHD12B,abhydrolase domain containing 12B,protein-coding gene,gene with protein product,Approved,14q22.1,BEM46L3,C14orf29,Abhydrolase domain containing,145447.0,ENSG00000131969,NM_001206673
HGNC:20293,ABHD13,abhydrolase domain containing 13,protein-coding gene,gene with protein product,Approved,13q33.3,bA153I24.2|FLJ14906|BEM46L1,C13orf6,Abhydrolase domain containing,84945.0,ENSG00000139826,NM_032859
HGNC:24538,ABHD14A,abhydrolase domain containing 14A,protein-coding gene,gene with protein product,Approved,3p21.2,DKFZP564O243|DORZ1,,Abhydrolase domain containing,25864.0,ENSG00000248487,NM_015407
HGNC:38856,ABHD14A-ACY1,ABHD14A-ACY1 readthrough,other,readthrough,Approved,3p21.2,,,,100526760.0,ENSG00000114786,NM_001316331
HGNC:28235,ABHD14B,abhydrolase domain containing 14B,protein-coding gene,gene with protein product,Approved,3p21.2,MGC15429|CIB,,Abhydrolase domain containing,84836.0,ENSG00000114779,NM_032750
HGNC:26971,ABHD15,abhydrolase domain containing 15,protein-coding gene,gene with protein product,Approved,17q11.2,,,Abhydrolase domain containing,116236.0,ENSG00000168792,NM_198147
HGNC:49685,ABHD15-AS1,ABHD15 antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,17q11.2,linc-TP53I13|lnc-TP53I13,,Antisense RNAs,104355133.0,ENSG00000264031,
HGNC:13921,ABHD16A,"abhydrolase domain containing 16A, phospholipase",protein-coding gene,gene with protein product,Approved,6p21.33,NG26|D6S82E,BAT5,Abhydrolase domain containing|MicroRNA protein coding host genes,7920.0,ENSG00000204427,NM_001177515
HGNC:59161,ABHD16A-AS1,ABHD16A antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,6p21.33,,,Antisense RNAs,105375018.0,,
HGNC:16128,ABHD16B,abhydrolase domain containing 16B,protein-coding gene,gene with protein product,Approved,20q13.33,dJ591C20.1,C20orf135,Abhydrolase domain containing,140701.0,ENSG00000183260,NM_080622
HGNC:58392,ABHD16B-AS1,ABHD16B antisense RNA 1,non-coding RNA,"RNA, long non-coding",Approved,20q13.33,,,Antisense RNAs,112268269.0,ENSG00000268858,NR_165198
HGNC:28756,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",protein-coding gene,gene with protein product,Approved,19p13.3,MGC5244,C19orf27|FAM108A1,Abhydrolase domain containing|Depalmitoylases,81926.0,ENSG00000129968,NM_031213
HGNC:28394,ABHD17AP1,ABHD17A pseudogene 1,pseudogene,pseudogene,Approved,1q21.2,C1orf47,FAM108A2|ABHD17AP2|FAM108A3|FAM108A11P|FAM108A3P,,728917.0,ENSG00000198658,NG_011738
HGNC:34041,ABHD17AP3,ABHD17A pseudogene 3,pseudogene,pseudogene,Approved,1q41,,FAM108A4|FAM108A4P,,648359.0,ENSG00000250536,XR_041784
HGNC:34042,ABHD17AP4,ABHD17A pseudogene 4,pseudogene,pseudogene,Approved,22q11.21,,FAM108A5|FAM108A5P,,729495.0,ENSG00000229107,NG_023156
HGNC:34043,ABHD17AP5,ABHD17A pseudogene 5,pseudogene,pseudogene,Approved,22q11.22,,FAM108A6|FAM108A6P,,91219.0,ENSG00000263366,NG_000002
HGNC:34044,ABHD17AP6,ABHD17A pseudogene 6,pseudogene,pseudogene,Approved,17p11.2,,FAM108A7P,,644988.0,ENSG00000226981,NG_022988
HGNC:38508,ABHD17AP7,ABHD17A pseudogene 7,pseudogene,pseudogene,Approved,16p11.2,,FAM108A8P,,100133212.0,ENSG00000260864,NG_022980
HGNC:38509,ABHD17AP8,ABHD17A pseudogene 8,pseudogene,pseudogene,Approved,16p11.2,,FAM108A9P,,647144.0,ENSG00000260540,NG_023021
HGNC:38510,ABHD17AP9,ABHD17A pseudogene 9,pseudogene,pseudogene,Approved,16p11.2,,FAM108A10P,,100132251.0,ENSG00000261536,NG_028293
HGNC:24278,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",protein-coding gene,gene with protein product,Approved,9q21.13,CGI-67,C9orf77|FAM108B1,Abhydrolase domain containing|Depalmitoylases,51104.0,ENSG00000107362,NM_016014
